FIGI,Issuer,Name,Security Type,Ticker,Exchange Code
BBG01BXXLJW5,N/A,ADB SAFEGATE BVBA,TERM,ADBAS L 10/05/26 7,
BBG01Q5Q2274,N/A,BLITZ 24-120 GMBH,TERM,BLITZG L 10/30/31 1,
BBG00RB6TQV1,N/A,ALTICE FINANCING SA,EURO-ZONE,ALTICE 3 01/15/28 REGS,MUNICH
BBG0120R3019,N/A,ALTICE FINANCING SA,EURO-ZONE,ALTICE 4.25 08/15/29 REGS,TISE
BBG01BQJG4N3,N/A,ALTICE FINANCING SA,TERM,ALTICE L 10/29/27 1,
BBG01JJT4DS0,N/A,ALTICE FINANCING SA,TERM,ALTICE L 11/01/27 4,
BBG00HVW0024,N/A,ALTICE FINANCING SA,TERM,ALTICE L 01/30/26 1,
BBG00HX57VL5,N/A,ALTICE FINCO SA,EURO-ZONE,ALTICE 4.75 01/15/28 REGS,MUNICH
BBG00LG0Z8C6,N/A,ALTICE FRANCE SA,EURO-ZONE,SFRFP 5.875 02/01/27 REGs,ALL GERMAN SE
BBG00Q86D666,N/A,ALTICE FRANCE SA,EURO-ZONE,SFRFP 3.375 01/15/28 REGS,STUTTGART
BBG0100QYZQ7,N/A,ALTICE FRANCE SA,EURO-ZONE,SFRFP 4 07/15/29 REGs,CHANNEL ISLANDS
BBG00G74FZN9,N/A,ALTICE FRANCE SA,TERM,SFRFP L 07/31/25 1,
BBG00XD1G5H3,N/A,ALTICE FRANCE SA,EURO-ZONE,SFRFP 4.125 01/15/29 REGS,TISE
BBG012PNNMD8,N/A,ALTICE FRANCE SA,EURO-ZONE,SFRFP 4.25 10/15/29 REGs,TISE
BBG00HVTMPP7,N/A,ALTICE FRANCE SA,TERM,SFRFP L 02/02/26 1,
BBG00H44VG18,N/A,AFE SA SICAV-RAIF,EURO MTN,ANACAP F 07/15/30 REGS,STUTTGART
BBG012SS9VR5,N/A,APOLLO FINCO BV,TERM,COOKBE L 10/08/28 1,
BBG01JP9ZFG1,N/A,ARC GAMING & TECHNOLOGIE,TERM,LUCBUC L 10/02/28 1,
BBG01JP9ZG06,N/A,ARC GAMING & TECHNOLOGIE,TERM,LUCBUC L 10/02/29 2,
BBG00ZGFKYP7,N/A,ARDAGH METAL PACKAGING,EURO NON-DOLLAR,AMPBEV 2 09/01/28 REGs,MUNICH
BBG00ZGFKZ56,N/A,ARDAGH METAL PACKAGING,EURO NON-DOLLAR,AMPBEV 3 09/01/29 REGs,MUNICH
BBG00PVKFN17,N/A,ARDAGH PKG FIN/HLDGS USA,EURO NON-DOLLAR,ARGID 2.125 08/15/26 REGs,EURONEXT-DUBLIN
BBG00V9SG609,N/A,ARDAGH PKG FIN/HLDGS USA,EURO NON-DOLLAR,ARGID 2.125 08/15/26 REGS,EURONEXT-DUBLIN
BBG011N3YWZ8,N/A,ARMORICA LUX SARL,TERM,IDVRDE L 07/28/28 1,
BBG00Z481X24,N/A,ASCEND PERFORMANCE MATER,TERM,ASCMAT L 08/27/26 1,
BBG012T8L4W8,N/A,BCP V MODULAR SERVICES,EURO NON-DOLLAR,MODULA 6.75 11/30/29 REGS,TISE
BBG00F5DRDF8,N/A,SLV GMBH,TERM,SLVELK L 01/03/24 1,
BBG01L027679,N/A,SLV GMBH,TERM,SLVELK L 01/29/27 3,
